ground_truth,search_output
ài lún,bā róu
ā lóng,bā róu
ài bù tè,è bo bo tè
yà bó,è bèi
ā bì,bì è
ài bǐ gài,bì gài lè
ā bǐ gài ěr,bì gài lè
ài bó nà,è bān ér
yà bó lā hǎn,è bā hā mì
ā xī ěr,è chá lè lè
āi dá,dà
yà dài ěr,dài ér
yà dāng,dà mì
ài dé lā,de lā
ài dé lái dé,de lài de è
ā dào fū,è dōu pà
yà dù ní sī,è dōng sà
ā dé lǐ ān,è diān
ā dé lǐ yà nà,è diān ā
ā dé lǐ ān,è dài ēn
ā fú lā,è fǎ
ā jiā shā,è gài hā
ài gé nī sī,è gēn
ā jī,è kuí
ài lún,lán
ā lán,lán
ā lā ní sī,lán bì sà
ā ěr běn,è lè bān
ài bó tè,è lè bo ér tè
ā ěr bó tè,è lè bo ér tè
ài ěr bǎi tǎ,è lè bo ér tǎ
ào dé lǐ qí,è lè dài chá
ā léi kè,lè chá
ā liè kè sī,lè xí
yà lì shān dà,lè xiān de ér
yà lì shān dé lā,lè xiān dà
yà lì shān dà,lè xiān de
yà lì kè xī yà,lè xià
ā fāng suǒ,è luò nuò
yà ěr fú liè dé,è lè fù è de
ā ěr fú léi dé,è lè fù è de
ā jié ěr,è lè gè ér
ài lì sī,è liè
ài lì sī,è liè
ài lì xī yà,lì cuì ā
ā lì sēn,lì sòng
ā lán,è lè lán
ài lún,è lè lè nà
ā lún,è lè lè nà
āi lǐ sēn,è lè lì sòng
ài mǎ,è lè mǎ
ào sī dùn,è lè sà tóng
ā ěr wá,è lā
ā ěr wǎ,è lā
ā ěr wén,è lín
yà ěr wéi sī,è lài sà
ài lì shā,è lè sà sà
ā mǎ dé ào,mǎ de
ā màn dá,màn dà
ā mǐ de ào,è méi de
ā méi lì yà,è méi ā
ā mì lì yǎ,è méi ā
yà mó sī,mò sà
ài mī,è mì
ài měi,è mì
ān nà tǎ xī yǎ,nà sà tǎ sī ā
ā nà sī tǎ xī yà,nà sà tǎ sī ā
ān dé lín,è de lín
ān dé liè,ān de
ān dé liè,ān de
